Mountains,disjointWith,Coastal
Mountains,disjointWith,Hills
Mountains,disjointWith,OffShore
Mountains,disjointWith,OnShip
Mountains,disjointWith,Plains
Mountains,disjointWith,Space
lastPage,type,DatatypeProperty
isUsedIn,type,ObjectProperty
isUsedIn,domain,Currency
isUsedIn,range,Country
isUsedIn,inverseOf,uses
AssistantProfessor,type,Class
AssistantProfessor,subClassOf,Professor
name,type,DatatypeProperty
name,label,name
Faculty,type,Class
Faculty,subClassOf,Employee
approaches,type,DatatypeProperty
ResearchGroup,type,Class
ResearchGroup,subClassOf,College
number,type,DatatypeProperty
Climatic_Region,type,Class
Climatic_Region,label,Climatic region
Climatic_Region,subClassOf,Region
_:b5,type,Restriction
_:b5,onProperty,hasEndDate
_:b5,cardinality,1
SystemStaff,type,Class
SystemStaff,subClassOf,AdministrativeStaff
_:b6,type,Restriction
_:b6,onProperty,hasStartDate
_:b6,cardinality,1
phone,type,DatatypeProperty
Book,type,Class
Book,subClassOf,Publication
FullProfessor,type,Class
FullProfessor,subClassOf,Professor
Settlement,type,Class
Settlement,label,Settlement
Settlement,subClassOf,Administrative_Region
title,type,DatatypeProperty
title,label,title
middleInitial,type,DatatypeProperty
Title,type,DatatypeProperty
_:b7,type,Restriction
_:b7,onProperty,title
_:b7,allValuesFrom,string
Environmental_Region,type,Class
Environmental_Region,label,Environmental region
Environmental_Region,subClassOf,Region
firstPage,type,DatatypeProperty
Region,type,Class
Region,label,Region
Country,type,Class
Country,label,Country
Country,subClassOf,Administrative_Region
email,type,DatatypeProperty
hasStartDate,type,DatatypeProperty
hasStartDate,domain,Event
hasStartDate,range,dateTime
Mild,type,Class
Mild,label,Mild
Mild,subClassOf,Climatic_Region
Mild,disjointWith,Arctic
Mild,disjointWith,Desert
Mild,disjointWith,Subtropical
Mild,disjointWith,Tropical
productMailingList,type,DatatypeProperty
year,type,DatatypeProperty
mailingLists,type,DatatypeProperty
_:b8,type,Restriction
_:b8,onProperty,year
_:b8,allValuesFrom,integer
PGStudent,type,Class
PGStudent,subClassOf,Student
code,type,DatatypeProperty
code,domain,Currency
code,range,int
code,type,FunctionalProperty
Employee,type,Class
Employee,subClassOf,Person
DevelopmentProject,type,Class
DevelopmentProject,subClassOf,Project
emailAddress,type,DatatypeProperty
emailAddress,label,can be reached at
telephone,type,DatatypeProperty
telephone,label,telephone number
Graphics,type,Thing
Graphics,type,NamedIndividual
Lecturer,type,Class
Lecturer,subClassOf,Faculty
Course,type,Class
